"lang"
{
"Language" "Français (French)"
"AmmoCheck.Alt2.AlmostFull" "Mon chargeur est quasiment rempli."
"AmmoCheck.Alt2.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt2.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt2.15" "Il me reste quinze balles."
"AmmoCheck.Alt2.14" "Il me reste quatorze balles."
"AmmoCheck.Alt2.13" "Il me reste treize balles."
"AmmoCheck.Alt2.12" "Il me reste douze balles."
"AmmoCheck.Alt2.11" "Il me reste onze balles."
"AmmoCheck.Alt2.10" "Il me reste dix balles."
"AmmoCheck.Alt2.9" "Il me reste neuf balles !"
"AmmoCheck.Alt2.8" "Il me reste huit balles !"
"AmmoCheck.Alt2.7" "Il me reste sept balles !"
"AmmoCheck.Alt2.6" "Il me reste six balles !"
"AmmoCheck.Alt2.5" "Il me reste cinq balles !"
"AmmoCheck.Alt2.4" "Il me reste quatre balles !"
"AmmoCheck.Alt2.3" "Il me reste trois balles !"
"AmmoCheck.Alt2.2" "Il me reste deux balles !"
"AmmoCheck.Alt2.1" "Il ne me reste plus qu'une balle !"
"AmmoCheck.Alt2.0" "Je suis à sec !"

"AmmoCheck.Alt1.Full" "Mon chargeur est plein."
"AmmoCheck.Alt1.AlmostFull" "Mon chargeur est quasiment rempli."
"AmmoCheck.Alt1.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt1.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt1.15" "Il me reste quinze balles."
"AmmoCheck.Alt1.14" "Il me reste quatorze balles."
"AmmoCheck.Alt1.13" "Il me reste treize balles."
"AmmoCheck.Alt1.12" "Il me reste douze balles."
"AmmoCheck.Alt1.11" "Il me reste onze balles."
"AmmoCheck.Alt1.10" "Il me reste dix balles."
"AmmoCheck.Alt1.9" "Il me reste neuf balles !"
"AmmoCheck.Alt1.8" "Il me reste huit balles !"
"AmmoCheck.Alt1.7" "Il me reste sept balles !"
"AmmoCheck.Alt1.6" "Il me reste six balles !"
"AmmoCheck.Alt1.5" "Il me reste cinq balles !"
"AmmoCheck.Alt1.4" "Il me reste quatre balles !"
"AmmoCheck.Alt1.3" "Il me reste trois balles !"
"AmmoCheck.Alt1.2" "Il me reste deux balles !"
"AmmoCheck.Alt1.1" "Il ne me reste plus qu'une balle !"
"AmmoCheck.Alt1.0" "Je suis à sec !"

"AmmoCheck.Default.Full" "Mon chargeur est plein."
"AmmoCheck.Default.AlmostFull" "Mon chargeur est quasiment rempli."
"AmmoCheck.Default.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Default.Half" "Chargeur à moitié rempli."
"AmmoCheck.Default.15" "Il me reste quinze balles."
"AmmoCheck.Default.14" "Il me reste quatorze balles."
"AmmoCheck.Default.13" "Il me reste treize balles."
"AmmoCheck.Default.12" "Il me reste douze balles."
"AmmoCheck.Default.11" "Il me reste onze balles."
"AmmoCheck.Default.10" "Il me reste dix balles."
"AmmoCheck.Default.9" "Il me reste neuf balles !"
"AmmoCheck.Default.8" "Il me reste huit balles !"
"AmmoCheck.Default.7" "Il me reste sept balles !"
"AmmoCheck.Default.6" "Il me reste six balles !"
"AmmoCheck.Default.5" "Il me reste cinq balles !"
"AmmoCheck.Default.4" "Il me reste quatre balles !"
"AmmoCheck.Default.3" "Il me reste trois balles !"
"AmmoCheck.Default.2" "Il me reste deux balles !"
"AmmoCheck.Default.1" "Il ne me reste plus qu'une balle !"
"AmmoCheck.Default.0" "Je suis à sec !"

//voice commands

"VoiceCommand.Alt1.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt1.Follow" "Suivez-moi !"
"VoiceCommand.Alt1.Help" "À l'aide !"
"VoiceCommand.Alt1.No" "Non !"
"VoiceCommand.Alt1.Yes" "Oui !"
"VoiceCommand.Alt1.Stay" "Restez ici !"
"VoiceCommand.Alt1.ThankYou" "Merci !"
"VoiceCommand.Alt1.Incoming" "Ils arrivent !"
"VoiceCommand.Alt1.Injured" "Je suis blessé !"
"VoiceCommand.Alt1.FireInTheHole" "À couvert !"

"VoiceCommand.Alt2.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt2.Follow" "Suivez-moi !"
"VoiceCommand.Alt2.Help" "À l'aide !"
"VoiceCommand.Alt2.No" "Non !"
"VoiceCommand.Alt2.Yes" "Oui !"
"VoiceCommand.Alt2.Stay" "Restez ici !"
"VoiceCommand.Alt2.ThankYou" "Merci !"
"VoiceCommand.Alt2.Incoming" "Ils arrivent !"
"VoiceCommand.Alt2.Injured" "Je suis blessé !"
"VoiceCommand.Alt2.FireInTheHole" "À couvert !"

"VoiceCommand.Alt3.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt3.Follow" "Suivez-moi !"
"VoiceCommand.Alt3.Help" "À l'aide !"
"VoiceCommand.Alt3.No" "Non !"
"VoiceCommand.Alt3.Yes" "Oui !"
"VoiceCommand.Alt3.Stay" "Restez ici !"
"VoiceCommand.Alt3.ThankYou" "Merci !"
"VoiceCommand.Alt3.Incoming" "Ils arrivent !"
"VoiceCommand.Alt3.Injured" "Je suis blessé !"
"VoiceCommand.Alt3.FireInTheHole" "À couvert !"

"VoiceCommand.Alt4.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt4.Follow" "Suivez-moi !"
"VoiceCommand.Alt4.Help" "À l'aide !"
"VoiceCommand.Alt4.No" "Non !"
"VoiceCommand.Alt4.Yes" "Oui !"
"VoiceCommand.Alt4.Stay" "Restez ici !"
"VoiceCommand.Alt4.ThankYou" "Merci !"
"VoiceCommand.Alt4.Incoming" "Ils arrivent !"
"VoiceCommand.Alt4.Injured" "Je suis blessé !"
"VoiceCommand.Alt4.FireInTheHole" "À couvert !"

"VoiceCommand.Alt5.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt5.Follow" "Suivez-moi !"
"VoiceCommand.Alt5.Help" "À l'aide !"
"VoiceCommand.Alt5.No" "Non !"
"VoiceCommand.Alt5.Yes" "Oui !"
"VoiceCommand.Alt5.Stay" "Restez ici !"
"VoiceCommand.Alt5.ThankYou" "Merci !"
"VoiceCommand.Alt5.Incoming" "Ils arrivent !"
"VoiceCommand.Alt5.Injured" "Je suis blessé !"
"VoiceCommand.Alt5.FireInTheHole" "À couvert !"

"VoiceCommand.Alt6.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt6.Follow" "Suivez-moi !"
"VoiceCommand.Alt6.Help" "À l'aide !"
"VoiceCommand.Alt6.No" "Non !"
"VoiceCommand.Alt6.Yes" "Oui !"
"VoiceCommand.Alt6.Stay" "Restez ici !"
"VoiceCommand.Alt6.ThankYou" "Merci !"
"VoiceCommand.Alt6.Incoming" "Ils arrivent !"
"VoiceCommand.Alt6.Injured" "Je suis blessé !"
"VoiceCommand.Alt6.FireInTheHole" "À couvert !"

"VoiceCommand.Alt7.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt7.Follow" "Suivez-moi !"
"VoiceCommand.Alt7.Help" "À l'aide !"
"VoiceCommand.Alt7.No" "Non !"
"VoiceCommand.Alt7.Yes" "Oui !"
"VoiceCommand.Alt7.Stay" "Restez ici !"
"VoiceCommand.Alt7.ThankYou" "Merci !"
"VoiceCommand.Alt7.Incoming" "Ils arrivent !"
"VoiceCommand.Alt7.Injured" "Je suis blessé !"
"VoiceCommand.Alt7.FireInTheHole" "À couvert !"

"VoiceCommand.Alt8.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Alt8.Follow" "Suivez-moi !"
"VoiceCommand.Alt8.Help" "À l'aide !"
"VoiceCommand.Alt8.No" "Non !"
"VoiceCommand.Alt8.Yes" "Oui !"
"VoiceCommand.Alt8.Stay" "Restez ici !"
"VoiceCommand.Alt8.ThankYou" "Merci !"
"VoiceCommand.Alt8.Incoming" "Ils arrivent !"
"VoiceCommand.Alt8.Injured" "Je suis blessé !"
"VoiceCommand.Alt8.FireInTheHole" "À couvert !"

"VoiceCommand.FemaleDefault.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.FemaleDefault.Follow" "Suivez-moi !"
"VoiceCommand.FemaleDefault.Help" "À l'aide !"
"VoiceCommand.FemaleDefault.No" "Non !"
"VoiceCommand.FemaleDefault.Yes" "Oui !"
"VoiceCommand.FemaleDefault.Stay" "Restez ici !"
"VoiceCommand.FemaleDefault.ThankYou" "Merci !"
"VoiceCommand.FemaleDefault.Incoming" "Ils arrivent !"
"VoiceCommand.FemaleDefault.Injured" "Je suis blessé !"
"VoiceCommand.FemaleDefault.FireInTheHole" "À couvert !"

"VoiceCommand.Default.Ammo" "J'ai besoin de munitions !"
"VoiceCommand.Default.Follow" "Suivez-moi !"
"VoiceCommand.Default.Help" "À l'aide !"
"VoiceCommand.Default.No" "Non !"
"VoiceCommand.Default.Yes" "Oui !"
"VoiceCommand.Default.Stay" "Restez ici !"
"VoiceCommand.Default.ThankYou" "Merci !"
"VoiceCommand.Default.Incoming" "Ils arrivent !"
"VoiceCommand.Default.Injured" "Je suis blessé !"
"VoiceCommand.Default.FireInTheHole" "À couvert !"

//reserve ammo check for magazines
// 'X magazines remaining'

"Reload.Alt1.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt1.Mag15" "Quinze chargeurs restants !"
"Reload.Alt1.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt1.Mag13" "Treize chargeurs restants !"
"Reload.Alt1.Mag12" "Douze chargeurs restants !"
"Reload.Alt1.Mag11" "Onze chargeurs restants !"
"Reload.Alt1.Mag10" "Dix chargeurs restants !"
"Reload.Alt1.Mag9" "Neuf chargeurs restants !"
"Reload.Alt1.Mag8" "Huit chargeurs restants !"
"Reload.Alt1.Mag7" "Sept chargeurs restants !"
"Reload.Alt1.Mag6" "Six chargeurs restants !"
"Reload.Alt1.Mag5" "Cinq chargeurs restants !"
"Reload.Alt1.Mag4" "Quatre chargeurs restants !"
"Reload.Alt1.Mag3" "Trois chargeurs restants !"
"Reload.Alt1.Mag2" "Deux chargeurs restants !"
"Reload.Alt1.Mag1" "Un chargeur restant !"
"Reload.Alt1.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt2.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt2.Mag10" "Dix chargeurs restants !"
"Reload.Alt2.Mag9" "Neuf chargeurs restants !"
"Reload.Alt2.Mag8" "Huit chargeurs restants !"
"Reload.Alt2.Mag7" "Sept chargeurs restants !"
"Reload.Alt2.Mag6" "Six chargeurs restants !"
"Reload.Alt2.Mag5" "Cinq chargeurs restants !"
"Reload.Alt2.Mag4" "Quatre chargeurs restants !"
"Reload.Alt2.Mag3" "Trois chargeurs restants !"
"Reload.Alt2.Mag2" "Deux chargeurs restants !"
"Reload.Alt2.Mag1" "Un chargeur restant !"
"Reload.Alt2.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt3.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt3.Mag15" "Quinze chargeurs restants !"
"Reload.Alt3.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt3.Mag13" "Treize chargeurs restants !"
"Reload.Alt3.Mag12" "Douze chargeurs restants !"
"Reload.Alt3.Mag11" "Onze chargeurs restants !"
"Reload.Alt3.Mag10" "Dix chargeurs restants !"
"Reload.Alt3.Mag9" "Neuf chargeurs restants !"
"Reload.Alt3.Mag8" "Huit chargeurs restants !"
"Reload.Alt3.Mag7" "Sept chargeurs restants !"
"Reload.Alt3.Mag6" "Six chargeurs restants !"
"Reload.Alt3.Mag5" "Cinq chargeurs restants !"
"Reload.Alt3.Mag4" "Quatre chargeurs restants !"
"Reload.Alt3.Mag3" "Trois chargeurs restants !"
"Reload.Alt3.Mag2" "Deux chargeurs restants !"
"Reload.Alt3.Mag1" "Un chargeur restant !"
"Reload.Alt3.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt4.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt4.Mag15" "Quinze chargeurs restants !"
"Reload.Alt4.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt4.Mag13" "Treize chargeurs restants !"
"Reload.Alt4.Mag12" "Douze chargeurs restants !"
"Reload.Alt4.Mag11" "Onze chargeurs restants !"
"Reload.Alt4.Mag10" "Dix chargeurs restants !"
"Reload.Alt4.Mag9" "Neuf chargeurs restants !"
"Reload.Alt4.Mag8" "Huit chargeurs restants !"
"Reload.Alt4.Mag7" "Sept chargeurs restants !"
"Reload.Alt4.Mag6" "Six chargeurs restants !"
"Reload.Alt4.Mag5" "Cinq chargeurs restants !"
"Reload.Alt4.Mag4" "Quatre chargeurs restants !"
"Reload.Alt4.Mag3" "Trois chargeurs restants !"
"Reload.Alt4.Mag2" "Deux chargeurs restants !"
"Reload.Alt4.Mag1" "Un chargeur restant !"
"Reload.Alt4.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt5.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt5.Mag15" "Quinze chargeurs restants !"
"Reload.Alt5.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt5.Mag13" "Treize chargeurs restants !"
"Reload.Alt5.Mag12" "Douze chargeurs restants !"
"Reload.Alt5.Mag11" "Onze chargeurs restants !"
"Reload.Alt5.Mag10" "Dix chargeurs restants !"
"Reload.Alt5.Mag9" "Neuf chargeurs restants !"
"Reload.Alt5.Mag8" "Huit chargeurs restants !"
"Reload.Alt5.Mag7" "Sept chargeurs restants !"
"Reload.Alt5.Mag6" "Six chargeurs restants !"
"Reload.Alt5.Mag5" "Cinq chargeurs restants !"
"Reload.Alt5.Mag4" "Quatre chargeurs restants !"
"Reload.Alt5.Mag3" "Trois chargeurs restants !"
"Reload.Alt5.Mag2" "Deux chargeurs restants !"
"Reload.Alt5.Mag1" "Un chargeur restant !"
"Reload.Alt5.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt6.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt6.Mag15" "Quinze chargeurs restants !"
"Reload.Alt6.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt6.Mag13" "Treize chargeurs restants !"
"Reload.Alt6.Mag12" "Douze chargeurs restants !"
"Reload.Alt6.Mag11" "Onze chargeurs restants !"
"Reload.Alt6.Mag10" "Dix chargeurs restants !"
"Reload.Alt6.Mag9" "Neuf chargeurs restants !"
"Reload.Alt6.Mag8" "Huit chargeurs restants !"
"Reload.Alt6.Mag7" "Sept chargeurs restants !"
"Reload.Alt6.Mag6" "Six chargeurs restants !"
"Reload.Alt6.Mag5" "Cinq chargeurs restants !"
"Reload.Alt6.Mag4" "Quatre chargeurs restants !"
"Reload.Alt6.Mag3" "Trois chargeurs restants !"
"Reload.Alt6.Mag2" "Deux chargeurs restants !"
"Reload.Alt6.Mag1" "Un chargeur restant !"
"Reload.Alt6.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt7.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt7.Mag15" "Quinze chargeurs restants !"
"Reload.Alt7.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt7.Mag13" "Treize chargeurs restants !"
"Reload.Alt7.Mag12" "Douze chargeurs restants !"
"Reload.Alt7.Mag11" "Onze chargeurs restants !"
"Reload.Alt7.Mag10" "Dix chargeurs restants !"
"Reload.Alt7.Mag9" "Neuf chargeurs restants !"
"Reload.Alt7.Mag8" "Huit chargeurs restants !"
"Reload.Alt7.Mag7" "Sept chargeurs restants !"
"Reload.Alt7.Mag6" "Six chargeurs restants !"
"Reload.Alt7.Mag5" "Cinq chargeurs restants !"
"Reload.Alt7.Mag4" "Quatre chargeurs restants !"
"Reload.Alt7.Mag3" "Trois chargeurs restants !"
"Reload.Alt7.Mag2" "Deux chargeurs restants !"
"Reload.Alt7.Mag1" "Un chargeur restant !"
"Reload.Alt7.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Alt8.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Alt8.Mag15" "Quinze chargeurs restants !"
"Reload.Alt8.Mag14" "Quatorze chargeurs restants !"
"Reload.Alt8.Mag13" "Treize chargeurs restants !"
"Reload.Alt8.Mag12" "Douze chargeurs restants !"
"Reload.Alt8.Mag11" "Onze chargeurs restants !"
"Reload.Alt8.Mag10" "Dix chargeurs restants !"
"Reload.Alt8.Mag9" "Neuf chargeurs restants !"
"Reload.Alt8.Mag8" "Huit chargeurs restants !"
"Reload.Alt8.Mag7" "Sept chargeurs restants !"
"Reload.Alt8.Mag6" "Six chargeurs restants !"
"Reload.Alt8.Mag5" "Cinq chargeurs restants !"
"Reload.Alt8.Mag4" "Quatre chargeurs restants !"
"Reload.Alt8.Mag3" "Trois chargeurs restants !"
"Reload.Alt8.Mag2" "Deux chargeurs restants !"
"Reload.Alt8.Mag1" "Un chargeur restant !"
"Reload.Alt8.Mag0" "Il ne me reste aucun chargeur !"

"Reload.FemaleDefault.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.FemaleDefault.Mag15" "Quinze chargeurs restants !"
"Reload.FemaleDefault.Mag14" "Quatorze chargeurs restants !"
"Reload.FemaleDefault.Mag13" "Treize chargeurs restants !"
"Reload.FemaleDefault.Mag12" "Douze chargeurs restants !"
"Reload.FemaleDefault.Mag11" "Onze chargeurs restants !"
"Reload.FemaleDefault.Mag10" "Dix chargeurs restants !"
"Reload.FemaleDefault.Mag9" "Neuf chargeurs restants !"
"Reload.FemaleDefault.Mag8" "Huit chargeurs restants !"
"Reload.FemaleDefault.Mag7" "Sept chargeurs restants !"
"Reload.FemaleDefault.Mag6" "Six chargeurs restants !"
"Reload.FemaleDefault.Mag5" "Cinq chargeurs restants !"
"Reload.FemaleDefault.Mag4" "Quatre chargeurs restants !"
"Reload.FemaleDefault.Mag3" "Trois chargeurs restants !"
"Reload.FemaleDefault.Mag2" "Deux chargeurs restants !"
"Reload.FemaleDefault.Mag1" "Un chargeur restant !"
"Reload.FemaleDefault.Mag0" "Il ne me reste aucun chargeur !"

"Reload.Default.PlentyMag"	"J'ai pas mal de chargeurs."
"Reload.Default.Mag10" "Dix chargeurs restants !"
"Reload.Default.Mag9" "Neuf chargeurs restants !"
"Reload.Default.Mag8" "Huit chargeurs restants !"
"Reload.Default.Mag7" "Sept chargeurs restants !"
"Reload.Default.Mag6" "Six chargeurs restants !"
"Reload.Default.Mag5" "Cinq chargeurs restants !"
"Reload.Default.Mag4" "Quatre chargeurs restants !"
"Reload.Default.Mag3" "Trois chargeurs restants !"
"Reload.Default.Mag2" "Deux chargeurs restants !"
"Reload.Default.Mag1" "Un chargeur restant !"
"Reload.Default.Mag0" "Il ne me reste aucun chargeur !"

//reserve ammo check for shotgun and magnum
// 'X loads remaining'

"Reload.Alt1.PlentyLoad"	"J'ai pas mal de balles."
"Reload.Alt1.Load15" "Quinze balles restantes !"
"Reload.Alt1.Load14" "Quatorze balles restantes !"
"Reload.Alt1.Load13" "Treize balles restantes !"
"Reload.Alt1.Load12" "Douze balles restantes !"
"Reload.Alt1.Load11" "Onze balles restantes !"
